Country 1,Country 2,Project Name,Project Name (local lang/script),Other name(s),Capacity (MW),Binational,Country 1 Capacity (MW),Country 2 Capacity (MW),Turbines,Status,Complex,Start Year,Retired Year,Owner,Owner Name (local lang/script),Operator,Operator Name (local lang/script),Technology Type,River / Watercourse,Latitude,Longitude,Location Accuracy,City 1,Local Area 1,Major Area 1,State/Province 1,Subregion 1,Region 1,City 2,Local Area 2,Major Area 2,State/Province 2,Subregion 2,Region 2,GEM location ID,GEM unit ID,Wiki URL
Afghanistan,,Baghdara hydroelectric plant,,,227,No,227,0,4,pre-construction,,,,Ministry of Energy and Water Afghanistan,,,,conventional storage,Panjshir River,33.768,66.2385,approximate,Baghdara Village,Abbottabad District,Hazara Division,Khyber Pakhtunkhwa Province,Southern Asia,Asia,,,,,,,L600001,G600001,https://gem.wiki/Baghdara_hydroelectric_plant
Afghanistan,,Naghlu hydroelectric plant,,Naghlo hydroelectric plant,94,No,94,0,4 x 23.5 MW,operating,,1967,,Ministry of Energy and Water Afghanistan,,,,conventional storage,"Panjshir River, Kabul River",34.6414,69.7171,exact,Surobi,Surobi,,Kabul Province,Southern Asia,Asia,,,,,,,L600002,G600002,https://gem.wiki/Naghlu_hydroelectric_plant
Afghanistan,,Sarobi 2 hydroelectric plant,,,180,No,180,0,,inactive,,,,Ministry of Energy and Water Afghanistan,,,,unknown,Kabul River,34.5894,69.7608,approximate,Surobi Town,Sarubi Capital,Sarubi District,Kabul Province,Southern Asia,Asia,,,,,,,L600003,G600003,https://gem.wiki/Sarobi_2_hydroelectric_plant
Albania,,Fierza hydroelectric plant,,,500,No,500,0,4,operating,,1980,,KESH,,,,conventional storage,,42.2514,20.0431,exact,,Shkodër County,,Northern Albania,Southern Europe,Europe,,,,,,,L600004,G600004,https://gem.wiki/Fierza_hydroelectric_plant
Albania,,Kalivaci hydroelectric plant,,,108,No,108,0,3,shelved,,,,,,,,conventional storage,,40.4006,19.7988,exact,,Gjirokastër County,,Southern Albania,Southern Europe,Europe,,,,,,,L600005,G600005,https://gem.wiki/Kalivaci_hydroelectric_plant
Albania,,Komani hydroelectric plant,,Komani; Komang,600,No,600,0,4,operating,,1985,,KESH,,,,conventional storage,,42.1033,19.8224,exact,Temal,Shkodër County,,Northern Albania,Southern Europe,Europe,,,,,,,L600006,G600006,https://gem.wiki/Komani_hydroelectric_plant
Albania,,Moglicë hydroelectric plant,,Moglice (Graboves),197,No,197,0,2,operating,,2020,,Statkraft AS,,Statkraft AS,,conventional storage,Devoll River,40.6928,20.4406,exact,,Korçë County,,Southern Albania,Southern Europe,Europe,,,,,,,L600007,G600007,https://gem.wiki/Moglicë_hydroelectric_plant
Albania,,Poçem hydroelectric plant,,,102,No,102,0,,pre-construction,,,,,,,,conventional storage,,40.3515,19.973,exact,,Gjirokastër County,,Southern Albania,Southern Europe,Europe,,,,,,,L600008,G600008,https://gem.wiki/Poçem_hydroelectric_plant
Albania,,Shala hydroelectric plant,,Shala New,128,No,128,0,,pre-construction,,,,,,,,unknown,,42.2829,19.7992,exact,Shalë,Shkodër County,,Northern Albania,Southern Europe,Europe,,,,,,,L600009,G600009,https://gem.wiki/Shala_hydroelectric_plant
Albania,,Skavica hydroelectric plant,,,210,No,210,0,,pre-construction,,,,KESH,,,,conventional storage,,41.9433,20.3653,exact,,Kukës County,,Northern Albania,Southern Europe,Europe,,,,,,,L600010,G600010,https://gem.wiki/Skavica_hydroelectric_plant
Albania,,Vau i Dejës hydroelectric plant,,Vau i Dejes; Vau i Dijes,250,No,250,0,5,operating,,1973,,KESH,,,,conventional storage,,42.0136,19.6358,exact,,Shkodër County,,Northern Albania,Southern Europe,Europe,,,,,,,L600011,G600011,https://gem.wiki/Vau_i_Dejës_hydroelectric_plant
Angola,,Caculo Cabaca hydroelectric plant,,,2040,No,2040,0,5,construction,,2024,,China Gezhouba Group CO LTD,,,,run-of-river,,-9.7296,14.8163,approximate,São Pedro da Quilemba,São Pedro da Quilemba,Cuanza Norte,Cuanza Norte,Sub-Saharan Africa,Africa,,,,,,,L600012,G600012,https://gem.wiki/Caculo_Cabaca_hydroelectric_plant
Angola,,Cambambe I hydroelectric plant,,,180,No,180,0,4,operating,,1962,,PRODEL,,,,run-of-river,,-9.7503,14.4819,exact,,,,Cuanza Norte Province,Sub-Saharan Africa,Africa,,,,,,,L600013,G600013,https://gem.wiki/Cambambe_I_hydroelectric_plant
Angola,,Cambambe II hydroelectric plant,,,700,No,700,0,4,operating,,2017,,PRODEL,,,,run-of-river,,-9.7383,14.4854,exact,,,,Cuanza Norte Province,Sub-Saharan Africa,Africa,,,,,,,L600014,G600014,https://gem.wiki/Cambambe_II_hydroelectric_plant
Angola,,Capanda hydroelectric plant,,,520,No,520,0,4,operating,,2004,,PRODEL,,,,conventional storage,,-9.7933,15.4635,exact,,Pungo Andongo,,Malanje Province,Sub-Saharan Africa,Africa,,,,,,,L600015,G600015,https://gem.wiki/Capanda_hydroelectric_plant
Angola,,Jamba ia Mina hydroelectric plant,,,224,No,224,0,2,shelved,,,,PRODEL,,,,conventional storage,,-13.8001,15.4622,approximate,Jamba,Jamba,Huíla,Huíla,Sub-Saharan Africa,Africa,,,,,,,L600016,G600016,https://gem.wiki/Jamba_ia_Mina_hydroelectric_plant
Angola,,Laúca hydroelectric plant,,,2070,No,2070,0,7,operating,,2017,,PRODEL,,,,run-of-river,,-9.7449,15.1251,exact,,,,Cuanza Sul Province,Sub-Saharan Africa,Africa,,,,,,,L600017,G600017,https://gem.wiki/Laúca_hydroelectric_plant
Argentina,Brazil,Panambi hydroelectric plant,Proyecto Hidroeléctrico binacional Garabí-Panambí,Usina Hidrelétrica Garabi,576,Yes,288,288,4,pre-construction,Garabi-Panambi Binational Complex,,,Emprendimientos Energéticos Binacionales SA (EBISA),,,,conventional storage,Río Uruguay,-27.7294,-54.9062,approximate,,,Panambí,Misiones,Latin America and the Caribbean,Americas,,,Região Geográfica Intermediária de Ijui,Rio Grande do Sul,Latin America and the Caribbean,Americas,L604058,G604097,https://gem.wiki/Panambi_hydroelectric_plant
Argentina,Paraguay,Brazo Aña Cuá hydroelectric plant,Central Hidroeléctrica Brazo Aña Cuá,,270,Yes,135,135,3 x 90 MW,construction,Yacyreta Complex,2024,,Entidad Binacional Yacyreta (EBY),,Entidad Binacional Yacyreta (EBY),,conventional storage,Río Paraná,-27.4823,-56.7213,approximate,,,Isla Yacretá,Itapúa,Latin America and the Caribbean,Americas,,,Isla Yacretá,Itapúa,Latin America and the Caribbean,Americas,L604059,G604098,https://gem.wiki/Brazo_Aña_Cuá_hydroelectric_plant
Argentina,Paraguay,Corpus Christi hydroelectric plant,Proyecto Hidroeléctrico Corpus Christi,Itacurubi,2880,Yes,1440,1440,20 x 144 MW,announced,,,,,,,,conventional storage,Río Paraná,-27.1196,-55.5653,approximate,,,Posadas,Misiones,Latin America and the Caribbean,Americas,,,Posadas,Misiones,Latin America and the Caribbean,Americas,L604060,G604099,https://gem.wiki/Corpus_Christi_hydroelectric_plant
Argentina,Paraguay,Yacyretá hydroelectric plant,Central Hidroeléctrica de Yacyreta,,3100,Yes,1550,1550,20 x 155 MW,operating,Yacyreta Complex,1994,,Entidad Binacional Yacyreta (EBY),,,,conventional storage,Río Paraná,-27.4823,-56.7212,exact,,,Departamento Ituzaingó,Corrientes,Latin America and the Caribbean,Americas,,,,Misiones,Latin America and the Caribbean,Americas,L604061,G604100,https://gem.wiki/Yacyretá_hydroelectric_plant
Argentina,Uruguay,Salto Grande hydroelectric plant,Complejo Hidroeléctrico de Salto Grande,,1890,Yes,945,945,14 x 135 MW,operating,,1979,,Comisión Técnica Mixta (CTM),,Comisión Técnica Mixta (CTM),,conventional storage,Río Uruguay,-31.2751,-57.9385,exact,,Distrito Suburbios,Departamento Concordia,Entre Ríos Province,Latin America and the Caribbean,Americas,,,,Salto,Latin America and the Caribbean,Americas,L604062,G604101,https://gem.wiki/Salto_Grande_hydroelectric_plant
Argentina,,Agua Del Toro hydroelectric plant,Central Hidroeléctrica Agua del Toro,,150,No,150,0,2 x 75 MW,operating,Diamante Complex,1974,,Pampa Energía SA,,,,conventional storage,Río Diamante,-34.5839,-69.0362,exact,,Distrito Cuadro Benegas,Departamento San Rafael,Mendoza,Latin America and the Caribbean,Americas,,,,,,,L600018,G600018,https://gem.wiki/Agua_Del_Toro_hydroelectric_plant
Argentina,,Alicura hydroelectric plant,Central Hidroeléctrica Alicura,,1040,No,1040,0,4 x 260 MW,operating,,1984,,AES Energía,,AES Energía Argentina,,conventional storage,Río Limay,-40.5841,-70.7476,exact,,,Departamento Pilcaniyeu,Río Negro Province,Latin America and the Caribbean,Americas,,,,,,,L600019,G600019,https://gem.wiki/Alicura_hydroelectric_plant
Argentina,,Arroyito hydroelectric plant,Central Hidroeléctrica Arroyito,,128,No,128,0,3 x 43 MW,operating,,1983,,Enel Generación,,Enel Generación,,conventional storage,Río Limay,-39.1067,-68.5857,exact,,,Departamento Confluencia,Neuquén Province,Latin America and the Caribbean,Americas,,,,,,,L600020,G600020,https://gem.wiki/Arroyito_hydroelectric_plant
Argentina,,Cabra Corral hydroelectric plant,Central Hidroeléctrica Cabra Corral,,104,No,104,0,3 x 35 MW,operating,,1972,,AES Energía,,AES Energía Argentina,,conventional storage,Río Juramento,-25.2716,-65.3299,exact,,,La Viña,Salta,Latin America and the Caribbean,Americas,,,,,,,L600021,G600021,https://gem.wiki/Cabra_Corral_hydroelectric_plant
Argentina,,Cacheuta Nueva hydroelectric plant,Central Hidroeléctrica Cacheuta Nueva,,120,No,120,0,4 x 30 MW,operating,,2002,,,,,,conventional storage,Río Mendoza,-33.0291,-69.1109,exact,,Departamento Luján de Cuyo,,Mendoza,Latin America and the Caribbean,Americas,,,,,,,L600022,G600022,https://gem.wiki/Cacheuta_Nueva_hydroelectric_plant
Argentina,,Chihuido 1 hydroelectric plant,Central Hidroeléctrica Chihuido 1,,637,No,637,0,4,pre-construction,,,,Emprendimientos Hidroeléctricos Sociedad del Estado Provincial del Neuquén (Emhidro),,,,conventional storage,,-38.3999,-69.6666,exact,,,Departamento Picunches,Neuquén Province,Latin America and the Caribbean,Americas,,,,,,,L600023,G600023,https://gem.wiki/Chihuido_1_hydroelectric_plant
Argentina,,Chihuido 2 hydroelectric plant,Central Hidroeléctrica Chihuido 2,,234,No,234,0,,announced,,,,IMPSA (Industrias Metalúrgicas Pescarmona SAIC y F),,,,conventional storage,,-38.9535,-68.0598,approximate,,,,Neuquen,Latin America and the Caribbean,Americas,,,,,,,L600024,G600024,https://gem.wiki/Chihuido_2_hydroelectric_plant
Argentina,,Chocón hydroelectric plant,Central Hidroeléctrica El Chocón,,1200,No,1200,0,6 x 200 MW,operating,,1972,,Enel Generación,,Enel Generación,,conventional storage,Río Limay,-39.2653,-68.7556,exact,,,Departamento Confluencia,Neuquén Province,Latin America and the Caribbean,Americas,,,,,,,L600025,G600025,https://gem.wiki/Chocón_hydroelectric_plant
Argentina,,El Baqueano hydroelectric plant,Central Hidroeléctrica El Baqueano,,150,No,150,0,2,announced,,,,Empresa Mendocina de Energía (EMESA),,,,unknown,Río Diamante,-34.5726,-68.7778,approximate,,,San Rafael,Mendoza,Latin America and the Caribbean,Americas,,,,,,,L600026,G600026,https://gem.wiki/El_Baqueano_hydroelectric_plant
Argentina,,Futaleufú hydroelectric plant,Central Hidroeléctrica Futaleufú,,472,No,472,0,4 x 118 MW,operating,,1978,,,,,,conventional storage,Río Futaleufú,-43.129,-71.6299,exact,,,Departamento Futaleufú,Chubut Province,Latin America and the Caribbean,Americas,,,,,,,L600027,G600027,https://gem.wiki/Futaleufú_hydroelectric_plant
Argentina,,Jorge Cepernic hydroelectric plant,Central Hidroeléctrica Jorge Cepernic,,950,No,950,0,,construction,Nestor Kirchner-Jorge Cepernic Complex,,,UTE Represas Patagonia,,,,conventional storage,,-48.7833,-69.2113,approximate,,,Santa Cruz,Patagonia,Latin America and the Caribbean,Americas,,,,,,,L600028,G600028,https://gem.wiki/Jorge_Cepernic_hydroelectric_plant
Argentina,,La Leona hydroelectric plant,Central Hidroeléctrica La Leona,,240,No,240,0,4,shelved,,,,,,,,conventional storage,Río La Leóna,-49.8095,-72.0533,approximate,,La Leóna,Santa Cruz,Patagonia,Latin America and the Caribbean,Americas,,,,,,,L600029,G600029,https://gem.wiki/La_Leona_hydroelectric_plant
Argentina,,Los Blancos 1 hydroelectric plant,Central Hidroeléctrica Los Blancos 1,,324,No,324,0,,shelved,Los Blancos Complex,,,Ministerio de Infraestructura Vivienda y Transporte (Mendoza),,,,conventional storage,Río Tunuyán,-33.7339,-69.1198,approximate,,,La Consulta,Mendoza,Latin America and the Caribbean,Americas,,,,,,,L600030,G600030,https://gem.wiki/Los_Blancos_1_hydroelectric_plant
Argentina,,Los Blancos 2 hydroelectric plant,Central Hidroeléctrica Los Blancos 2,,162,No,162,0,,shelved,Los Blancos Complex,,,Ministerio de Infraestructura Vivienda y Transporte (Mendoza),,,,conventional storage,Río Tunuyán,-33.7339,-69.1198,approximate,,,La Consulta,Mendoza,Latin America and the Caribbean,Americas,,,,,,,L600031,G600031,https://gem.wiki/Los_Blancos_2_hydroelectric_plant
Argentina,,Los Caracoles hydroelectric plant,Central Hidroeléctrica Los Caracoles,,125,No,125,0,2 x 63 MW,operating,,2009,,Energía Provincial Sociedad del Estado (EPSE),,Energía Provincial Sociedad del Estado (EPSE),,conventional storage,Río San Juan,-31.5192,-68.9814,exact,,,Zonda,San Juan,Latin America and the Caribbean,Americas,,,,,,,L600032,G600032,https://gem.wiki/Los_Caracoles_hydroelectric_plant
Argentina,,Los Reyunos hydroelectric plant,Central Hidroeléctrica Los Reyunos,,224,No,224,0,2 x 115 MW,operating,Diamante Complex,1984,,Pampa Energía SA,,,,conventional storage,Río Diamante,-34.6015,-68.641,exact,,,Departamento San Rafael,Mendoza,Latin America and the Caribbean,Americas,,,,,,,L600033,G600033,https://gem.wiki/Los_Reyunos_hydroelectric_plant
Argentina,,Nestor Kirchner hydroelectric plant,Central Hidroeléctrica Nestor Kirchner,Presidente Nestor Kirchner,360,No,360,0,,construction,Nestor Kirchner-Jorge Cepernic Complex,,,UTE Represas Patagonia,,,,conventional storage,,-48.7833,-69.2113,approximate,,,Santa Cruz,Patagonia,Latin America and the Caribbean,Americas,,,,,,,L600034,G600034,https://gem.wiki/Nestor_Kirchner_hydroelectric_plant
Argentina,,Nihuil 2 hydroelectric plant,Central Hidroeléctrica Nihuil 2,,131,No,131,0,6 x 20 MW,operating,,1968,,Pampa Energía SA,,Pampa Energía SA,,conventional storage,Río Atuel,-34.9125,-68.6237,exact,,,Departamento San Rafael,Mendoza,Latin America and the Caribbean,Americas,,,,,,,L600035,G600035,https://gem.wiki/Nihuil_2_hydroelectric_plant
Argentina,,Pichi Picun Leufu hydroelectric plant,Central Hidroeléctrica Pichi Picun Leufu,La Cental HPPL,285,No,285,0,3 x 95 MW,operating,,1999,,Pampa Energía SA,,,,conventional storage,Río Lemay,-40.0123,-69.9838,exact,,,Departamento Pilcaniyeu,Río Negro Province,Latin America and the Caribbean,Americas,,,,,,,L600036,G600036,https://gem.wiki/Pichi_Picun_Leufu_hydroelectric_plant
Argentina,,Piedra Del Aguila hydroelectric plant,Central Hidroeléctrica Piedra del Aguila,,1424,No,1424,0,4 x 356 MW,operating,,1993,,Sociedad Energía Sadesa Central Puerto,,Sociedad Energía Sadesa Central Puerto,,conventional storage,Río Lemay,-40.1901,-69.9934,exact,,,Departamento Collón Curá,Neuquén Province,Latin America and the Caribbean,Americas,,,,,,,L600037,G600037,https://gem.wiki/Piedra_Del_Aguila_hydroelectric_plant
Argentina,,Planicie Banderita hydroelectric plant,Central Hidroeléctrica Planicie Banderita,,486,No,486,0,2 x 243 MW,operating,,1972,,Orazul Energy,,,,conventional storage,Río Neuquén,-38.5595,-68.4744,exact,,,Departamento Confluencia,Neuquén Province,Latin America and the Caribbean,Americas,,,,,,,L600038,G600038,https://gem.wiki/Planicie_Banderita_hydroelectric_plant
Argentina,,Portezuelo Del Viento hydroelectric plant,Central Hidroeléctrica Portezuelo del Viento,,210,No,210,0,,shelved,,,,Empresa Mendocina de Energía (EMESA),,,,conventional storage,Río Grande,-35.4844,-69.5798,approximate,,,Malargüe,Mendoza,Latin America and the Caribbean,Americas,,,,,,,L600039,G600039,https://gem.wiki/Portezuelo_Del_Viento_hydroelectric_plant
Argentina,,Rio Grande hydroelectric plant,Central Hidroeléctrica Rio Grande,,750,No,750,0,4 x 188 MW,operating,,1986,,Empresa Provincial de Energía de Córdoba (EPEC),,Empresa Provincial de Energía de Córdoba (EPEC),,pumped storage,Río Grande,-32.224,-64.5673,exact,,Pedanía Santa Rosa,Departamento Calamuchita,Córdoba,Latin America and the Caribbean,Americas,,,,,,,L600040,G600040,https://gem.wiki/Rio_Grande_hydroelectric_plant
Argentina,,Urugua-í hydroelectric plant,Central Hidroeléctrica Urugua-í,,120,No,120,0,2 x 60 MW,operating,,1990,,Energía de Misiones SA (EMSA),,Energía de Misiones SA (EMSA),,conventional storage,Río Urugua-í,-25.8766,-54.5687,exact,,,Departamento Iguazú,Misiones,Latin America and the Caribbean,Americas,,,,,,,L600041,G600041,https://gem.wiki/Urugua-í_hydroelectric_plant
Argentina,,Uspallata hydroelectric plant,Central Hidroeléctrica Uspallata,Potrerillos Mendoza,162,No,162,0,,announced,,,,Empresa Mendocina de Energía (EMESA),,,,pumped storage,Río Mendoza,-32.9407,-60.7285,approximate,,,,Mendoza,Latin America and the Caribbean,Americas,,,,,,,L600042,G600042,https://gem.wiki/Uspallata_hydroelectric_plant
Armenia,,Argel hydroelectric plant,Արգելի ջրաէլեկտրակայան,Gyumush hydroelectric plant,224,No,224,0,4 x 56 MW,operating,Sevan-Hrazdan Cascade Complex,1953,,International Power CORP CJSC,«Միջազգային էներգետիկ կորպորացիա» ՓԲԸ,,,run-of-river,Hrazdan River,40.3786,44.6069,exact,,,Yeghvard region,Kotayk Province,Western Asia,Asia,,,,,,,L600043,G600043,https://gem.wiki/Argel_hydroelectric_plant
Armenia,,Hrazdan hydroelectric plant,Հրազդանի հիդրոէլեկտրակայան,,81,No,81,0,2 x 41 MW,operating,Sevan-Hrazdan Cascade Complex,1959,,International Power CORP CJSC,«Միջազգային էներգետիկ կորպորացիա» ՓԲԸ,,,conventional storage,Hrazdan River,40.5082,44.7598,exact,,,Hrazdan,Kotayk Province,Western Asia,Asia,,,,,,,L600044,G600044,https://gem.wiki/Hrazdan_hydroelectric_plant
Armenia,,Meghri hydroelectric plant,Մեղրի ջրաէլեկտրակայան,Megri Syunik,100,No,100,0,2 x 50 MW,pre-construction,,2026,,Farab,,,,run-of-river,Aras River,38.9031,46.2997,exact,,,Meghri Community,Syunik Province,Western Asia,Asia,,,,,,,L600045,G600045,https://gem.wiki/Meghri_hydroelectric_plant
Armenia,,Qanaqer hydroelectric plant,Քանաքեռ ՀԷԿ ջրաէլեկտրակայան,Kanaker HPP,102,No,102,0,4 x 12.5 MW; 2 x 26 MW,operating,Sevan-Hrazdan Cascade Complex,1936,,International Power CORP CJSC,«Միջազգային էներգետիկ կորպորացիա» ՓԲԸ,,,run-of-river,Hrazdan River,40.2211,44.5164,exact,Yerevan,,,,Western Asia,Asia,,,,,,,L600046,G600046,https://gem.wiki/Qanaqer_hydroelectric_plant
Armenia,,Shamb hydroelectric plant,Շամբ ջրաէլեկտրակայան,Vorotan Shamb,171,No,171,0,2,operating,Vorotan Complex,1979,,ContourGlobal PLC,,,,conventional storage,Vorotan River,39.4733,46.1303,exact,,,Sisian Community,Syunik Province,Western Asia,Asia,,,,,,,L600047,G600047,https://gem.wiki/Shamb_hydroelectric_plant
Armenia,,Shnogh hydroelectric plant,Շնող ջրաէլեկտրակայան,Shnokh hydroelectric plant,76,No,76,0,,announced,,,,Debed Hydro LLC,,,,run-of-river,Debet River,41.1442,44.8439,approximate,Shnogh,,,Lori Province,Western Asia,Asia,,,,,,,L600048,G600048,https://gem.wiki/Shnogh_hydroelectric_plant
Armenia,,Spandaryan hydroelectric plant,Սպանդարյանի հիդրոէլեկտրակայան,Vorotran Spandaryan,76,No,76,0,2,operating,Vorotan Complex,1989,,ContourGlobal PLC,,,,conventional storage,Vorotran River,39.6494,45.8501,exact,,,Gorayk Community,Syunik Province,Western Asia,Asia,,,,,,,L600049,G600049,https://gem.wiki/Spandaryan_hydroelectric_plant
Armenia,,Tatev hydroelectric plant,Տաթևի ջրաէլեկտրակայան,Vorotan Tatev,157,No,157,0,3 x 52.4 MW,operating,Vorotan Complex,1970,,ContourGlobal PLC,,,,conventional storage,Vorotan River,39.4273,46.371,exact,,,Goris Community,Syunik Province,Western Asia,Asia,,,,,,,L600050,G600050,https://gem.wiki/Tatev_hydroelectric_plant
Australia,,Bastyan hydroelectric plant,,,81,No,81,0,1,operating,Pieman Complex,1983,,Hydro Tasmania,,,,conventional storage,,-41.736,145.532,exact,,,,Tasmania,Australia and New Zealand,Oceania,,,,,,,L600051,G600051,https://gem.wiki/Bastyan_hydroelectric_plant
Australia,,Bendeela hydroelectric plant,,,80,No,80,0,2 x 40 MW,operating,Shoalhaven Complex,1977,,Origin Energy,,,,pumped storage,,-34.7338,150.467,exact,,,,New South Wales,Australia and New Zealand,Oceania,,,,,,,L600052,G600052,https://gem.wiki/Bendeela_hydroelectric_plant
Australia,,Big T hydroelectric plant,,"Big T Cessbrook, Big T Cressbrook, Lake Cressbrook",400,No,400,0,2 x 200 MW,pre-construction,,2027,,BE Power,,,,pumped storage,,-27.2909,152.1128,exact,,,,Queensland,Australia and New Zealand,Oceania,,,,,,,L600053,G600053,https://gem.wiki/Big_T_hydroelectric_plant
Australia,,Bogong hydroelectric plant,,Bogong Mount Beauty Hydro Scheme,140,No,140,0,2 x 70 MW,operating,Kiewa Complex,2009,,AGL Energy LTD,,AGL Energy LTD,,run-of-river,,-36.8064,147.2252,exact,,,,Victoria,Australia and New Zealand,Oceania,,,,,,,L600054,G600054,https://gem.wiki/Bogong_hydroelectric_plant
Australia,,Borumba Dam hydroelectric plant,,,2000,No,2000,0,,announced,,,,Queensland Hydro,,,,pumped storage,,-26.507,152.5819,exact,,,,Queensland,Australia and New Zealand,Oceania,,,,,,,L600055,G600055,https://gem.wiki/Borumba_Dam_hydroelectric_plant
Australia,,Central West hydroelectric plant,,,325,No,325,0,2,announced,,2027,,ATCO LTD,,,,pumped storage,,-33.489,149.7928,exact,,,,New South Wales,Australia and New Zealand,Oceania,,,,,,,L600056,G600056,https://gem.wiki/Central_West_hydroelectric_plant
Australia,,Cethana hydroelectric plant,,,100,No,100,0,1,operating,,1971,,Hydro Tasmania,,,,run-of-river,,-41.4799,146.1341,exact,,,,Tasmania,Australia and New Zealand,Oceania,,,,,,,L600057,G600057,https://gem.wiki/Cethana_hydroelectric_plant
Australia,,Cultana hydroelectric plant,,"Cultana Seawater, Cultana Training",225,No,225,0,2,shelved,,,,,,,,pumped storage,,-32.5896,137.7434,exact,,Port Augusta City Council,,South Australia,Australia and New Zealand,Oceania,,,,,,,L600058,G600058,https://gem.wiki/Cultana_hydroelectric_plant
Australia,,Dartmouth hydroelectric plant,,"Dartmouth Victoria, Dartmouth Mount Beauty Hydro Scheme",180,No,180,0,1,operating,,1981,,,,AGL Energy LTD,,conventional storage,Mitta Mitta River,-36.5567,147.5228,exact,,,,Victoria,Australia and New Zealand,Oceania,,,,,,,L600059,G600059,https://gem.wiki/Dartmouth_hydroelectric_plant
Australia,,Eildon hydroelectric plant,,,120,No,120,0,4,operating,,1956,,AGL Energy LTD,,,,unknown,,-37.2219,145.9215,exact,,,,Victoria,Australia and New Zealand,Oceania,,,,,,,L600060,G600060,https://gem.wiki/Eildon_hydroelectric_plant
Australia,,Gordon hydroelectric plant,,Gordon Tasmania,432,No,432,0,3,operating,,1977,,Hydro Tasmania,,,,conventional storage,,-42.7406,145.9829,exact,,,,Tasmania,Australia and New Zealand,Oceania,,,,,,,L600061,G600061,https://gem.wiki/Gordon_hydroelectric_plant
Australia,,John Butters hydroelectric plant,,,145,No,145,0,1,operating,,1992,,Hydro Tasmania,,,,conventional storage,Lake Burbury,-42.1549,145.5346,exact,,,,Tasmania,Australia and New Zealand,Oceania,,,,,,,L600062,G600062,https://gem.wiki/John_Butters_hydroelectric_plant
Australia,,Kangaroo Valley hydroelectric plant,,"Shoalhaven Kangaroo, Kangaroo Valley Shoalhaven Scheme",160,No,160,0,2 x 80 MW,operating,Shoalhaven Complex,1977,,Origin Energy,,Origin Energy Eraring PTY LTD,,pumped storage,,-34.7232,150.4796,exact,,,,New South Wales,Australia and New Zealand,Oceania,,,,,,,L600063,G600063,https://gem.wiki/Kangaroo_Valley_hydroelectric_plant
Australia,,Kareeya hydroelectric plant,,,88,No,88,0,4,operating,,1957,,CleanCo Queensland,,,,run-of-river,,-17.767,145.578,exact,,,,Queensland,Australia and New Zealand,Oceania,,,,,,,L600064,G600064,https://gem.wiki/Kareeya_hydroelectric_plant
Australia,,Kidston hydroelectric plant,,"Kidston Psp, K2-Hydro",250,No,250,0,2 x 125 MW,construction,,2024,,Genex Power,,,,pumped storage,,-19.0524,144.1449,exact,,,,Queensland,Australia and New Zealand,Oceania,,,,,,,L600065,G600065,https://gem.wiki/Kidston_hydroelectric_plant
Australia,,Lake Cethana hydroelectric plant,,,750,No,750,0,4,shelved,,,,Hydro Tasmania,,,,pumped storage,,-41.498,146.1089,exact,,,,Tasmania,Australia and New Zealand,Oceania,,,,,,,L600066,G600066,https://gem.wiki/Lake_Cethana_hydroelectric_plant
Australia,,Lake Lyell hydroelectric plant,,,335,No,335,0,,announced,,,,EnergyAustralia,,,,pumped storage,,-33.499,150.0799,exact,,,,New South Wales,Australia and New Zealand,Oceania,,,,,,,L600067,G600067,https://gem.wiki/Lake_Lyell_hydroelectric_plant
Australia,,Liapootah hydroelectric plant,,,87,No,87,0,3,operating,Derwent Complex,1960,,Hydro Tasmania,,,,run-of-river,,-42.3764,146.5101,exact,,,,Tasmania,Australia and New Zealand,Oceania,,,,,,,L600068,G600068,https://gem.wiki/Liapootah_hydroelectric_plant
Australia,,Mackintosh hydroelectric plant,,,89,No,89,0,1,operating,Pieman Complex,1982,,Hydro Tasmania,,,,conventional storage,,-41.6997,145.6461,exact,,,,Tasmania,Australia and New Zealand,Oceania,,,,,,,L600069,G600069,https://gem.wiki/Mackintosh_hydroelectric_plant
Australia,,McKay Creek hydroelectric plant,,McKay Creek Mount Beauty Hydro Scheme,150,No,150,0,6 x 25 MW,operating,Kiewa Complex,1960,,AGL Energy LTD,,AGL Energy LTD,,conventional storage,,-36.8583,147.2344,exact,,,,Victoria,Australia and New Zealand,Oceania,,,,,,,L600070,G600070,https://gem.wiki/McKay_Creek_hydroelectric_plant
Australia,,Mt Rawdon hydroelectric plant,,,2000,No,2000,0,,announced,,,,,,,,pumped storage,,-25.2707,151.7636,exact,,,,Queensland,Australia and New Zealand,Oceania,,,,,,,L600071,G600071,https://gem.wiki/Mt_Rawdon_hydroelectric_plant
Australia,,Murray 1 hydroelectric plant,,,950,No,950,0,10,operating,Snowy Complex,1967,,Snowy Hydro,,,,conventional storage,,-36.2468,148.1902,exact,,,,New South Wales,Australia and New Zealand,Oceania,,,,,,,L600072,G600072,https://gem.wiki/Murray_1_hydroelectric_plant
Australia,,Murray 2 hydroelectric plant,,,550,No,550,0,4,operating,Snowy Complex,1969,,Snowy Hydro,,,,conventional storage,,-36.2424,148.1361,exact,,,,New South Wales,Australia and New Zealand,Oceania,,,,,,,L600073,G600073,https://gem.wiki/Murray_2_hydroelectric_plant
